
Loading Cifar 10 Dataset...
Files already downloaded and verified
Files already downloaded and verified
Loaded Cifar 10!

========================================

Epoch [12/150] | Train iter [170/391] | acc_top1 = 24.21875 | acc_top5 = 68.75000 | loss = 2.21777
Epoch [12/150] | Train iter [220/391] | acc_top1 = 26.56250 | acc_top5 = 74.21875 | loss = 2.21797
Epoch [12/150] | Train iter [270/391] | acc_top1 = 26.56250 | acc_top5 = 74.21875 | loss = 2.21727
Epoch [12/150] | Train iter [320/391] | acc_top1 = 25.00000 | acc_top5 = 81.25000 | loss = 2.21647
Epoch [12/150] | Train iter [370/391] | acc_top1 = 21.09375 | acc_top5 = 78.12500 | loss = 2.21572
Epoch [12/150] | Train iter [391/391] | acc_top1 = 21.25000 | acc_top5 = 82.50000 | loss = 2.21554

Epoch [12/150] | Validation | acc_top1 = 25.27690 | acc_top5 = 81.07200 | loss = 2.22863

========================================

Epoch [13/150] | Train iter [20/391] | acc_top1 = 24.21875 | acc_top5 = 74.21875 | loss = 2.21115
Epoch [13/150] | Train iter [70/391] | acc_top1 = 24.21875 | acc_top5 = 78.90625 | loss = 2.21072
Epoch [13/150] | Train iter [120/391] | acc_top1 = 25.78125 | acc_top5 = 81.25000 | loss = 2.20707
Epoch [13/150] | Train iter [170/391] | acc_top1 = 21.87500 | acc_top5 = 77.34375 | loss = 2.20608
Epoch [13/150] | Train iter [220/391] | acc_top1 = 24.21875 | acc_top5 = 78.90625 | loss = 2.20598
Epoch [13/150] | Train iter [270/391] | acc_top1 = 25.78125 | acc_top5 = 75.78125 | loss = 2.20574
Epoch [13/150] | Train iter [320/391] | acc_top1 = 29.68750 | acc_top5 = 81.25000 | loss = 2.20464
Epoch [13/150] | Train iter [370/391] | acc_top1 = 25.00000 | acc_top5 = 73.43750 | loss = 2.20354
Epoch [13/150] | Train iter [391/391] | acc_top1 = 20.00000 | acc_top5 = 73.75000 | loss = 2.20358

Epoch [13/150] | Validation | acc_top1 = 26.07793 | acc_top5 = 81.46757 | loss = 2.21559

========================================

Epoch [14/150] | Train iter [20/391] | acc_top1 = 32.03125 | acc_top5 = 79.68750 | loss = 2.18841
Epoch [14/150] | Train iter [70/391] | acc_top1 = 22.65625 | acc_top5 = 79.68750 | loss = 2.19867
Epoch [14/150] | Train iter [120/391] | acc_top1 = 22.65625 | acc_top5 = 75.78125 | loss = 2.19613
Epoch [14/150] | Train iter [170/391] | acc_top1 = 28.12500 | acc_top5 = 85.93750 | loss = 2.19580
Epoch [14/150] | Train iter [220/391] | acc_top1 = 28.90625 | acc_top5 = 85.15625 | loss = 2.19515
Epoch [14/150] | Train iter [270/391] | acc_top1 = 34.37500 | acc_top5 = 86.71875 | loss = 2.19551
Epoch [14/150] | Train iter [320/391] | acc_top1 = 30.46875 | acc_top5 = 79.68750 | loss = 2.19444
Epoch [14/150] | Train iter [370/391] | acc_top1 = 24.21875 | acc_top5 = 79.68750 | loss = 2.19325
Epoch [14/150] | Train iter [391/391] | acc_top1 = 28.75000 | acc_top5 = 82.50000 | loss = 2.19308

Epoch [14/150] | Validation | acc_top1 = 26.80973 | acc_top5 = 82.08070 | loss = 2.20418

========================================

Epoch [15/150] | Train iter [20/391] | acc_top1 = 29.68750 | acc_top5 = 84.37500 | loss = 2.16672
Epoch [15/150] | Train iter [70/391] | acc_top1 = 29.68750 | acc_top5 = 80.46875 | loss = 2.18240
Epoch [15/150] | Train iter [120/391] | acc_top1 = 28.12500 | acc_top5 = 81.25000 | loss = 2.18418
Epoch [15/150] | Train iter [170/391] | acc_top1 = 28.12500 | acc_top5 = 82.81250 | loss = 2.18528
Epoch [15/150] | Train iter [220/391] | acc_top1 = 26.56250 | acc_top5 = 80.46875 | loss = 2.18432
Epoch [15/150] | Train iter [270/391] | acc_top1 = 21.87500 | acc_top5 = 78.90625 | loss = 2.18486
Epoch [15/150] | Train iter [320/391] | acc_top1 = 21.09375 | acc_top5 = 75.78125 | loss = 2.18458
Epoch [15/150] | Train iter [370/391] | acc_top1 = 26.56250 | acc_top5 = 75.00000 | loss = 2.18405
Epoch [15/150] | Train iter [391/391] | acc_top1 = 27.50000 | acc_top5 = 81.25000 | loss = 2.18344

Epoch [15/150] | Validation | acc_top1 = 27.53165 | acc_top5 = 82.63450 | loss = 2.19403

========================================

Epoch [16/150] | Train iter [20/391] | acc_top1 = 32.81250 | acc_top5 = 77.34375 | loss = 2.17678
Epoch [16/150] | Train iter [70/391] | acc_top1 = 21.09375 | acc_top5 = 80.46875 | loss = 2.17523
Epoch [16/150] | Train iter [120/391] | acc_top1 = 25.78125 | acc_top5 = 80.46875 | loss = 2.17718
Epoch [16/150] | Train iter [170/391] | acc_top1 = 18.75000 | acc_top5 = 80.46875 | loss = 2.17667
Epoch [16/150] | Train iter [220/391] | acc_top1 = 29.68750 | acc_top5 = 78.90625 | loss = 2.17487
Epoch [16/150] | Train iter [270/391] | acc_top1 = 19.53125 | acc_top5 = 78.90625 | loss = 2.17373
Epoch [16/150] | Train iter [320/391] | acc_top1 = 21.09375 | acc_top5 = 74.21875 | loss = 2.17427
Epoch [16/150] | Train iter [370/391] | acc_top1 = 32.81250 | acc_top5 = 78.12500 | loss = 2.17371
Epoch [16/150] | Train iter [391/391] | acc_top1 = 27.50000 | acc_top5 = 82.50000 | loss = 2.17366

Epoch [16/150] | Validation | acc_top1 = 28.50079 | acc_top5 = 83.06963 | loss = 2.18380

========================================

Epoch [17/150] | Train iter [20/391] | acc_top1 = 28.12500 | acc_top5 = 75.00000 | loss = 2.16987
Epoch [17/150] | Train iter [70/391] | acc_top1 = 29.68750 | acc_top5 = 75.78125 | loss = 2.17065
Epoch [17/150] | Train iter [120/391] | acc_top1 = 27.34375 | acc_top5 = 82.81250 | loss = 2.17016
Epoch [17/150] | Train iter [170/391] | acc_top1 = 23.43750 | acc_top5 = 78.12500 | loss = 2.16812
Epoch [17/150] | Train iter [220/391] | acc_top1 = 32.81250 | acc_top5 = 87.50000 | loss = 2.16615
Epoch [17/150] | Train iter [270/391] | acc_top1 = 29.68750 | acc_top5 = 78.12500 | loss = 2.16528
Epoch [17/150] | Train iter [320/391] | acc_top1 = 28.90625 | acc_top5 = 84.37500 | loss = 2.16390
Epoch [17/150] | Train iter [370/391] | acc_top1 = 25.78125 | acc_top5 = 80.46875 | loss = 2.16341
Epoch [17/150] | Train iter [391/391] | acc_top1 = 30.00000 | acc_top5 = 86.25000 | loss = 2.16361

